,Scope,Level,Level.1,Level.2,Level.3,Column Text,Unit,GHG,GHG Emission factor
0,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Default,kg,CO2e,0.650179632657801
1,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Default,kg,CO2,0.600853982688522
2,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Default,kg,CH4,0.0465511985365038
3,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Default,kg,N2O,0.00277445143277563
4,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Bituminous,kg,CO2e,2.860754834
5,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Bituminous,kg,CO2,2.637360379
6,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Bituminous,kg,CH4,0.210829044
7,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Bituminous,kg,N2O,0.012565411
8,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Sub-Bituminous,kg,CO2e,2.154412289
9,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Sub-Bituminous,kg,CO2,1.991009477
10,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Sub-Bituminous,kg,CH4,0.15421179
11,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Sub-Bituminous,kg,N2O,0.009191023
12,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Lignite,kg,CO2e,1.535622229
13,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Lignite,kg,CO2,1.420447873
14,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Lignite,kg,CH4,0.10869607
15,1,Fuel,Stationary combustion fuel emission factors ,Residential use,,Coal - Lignite,kg,N2O,0.006478286
16,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Default ,kg,CO2e,1.2645307370041
17,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Default ,kg,CO2,1.25545139118391
18,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Default ,kg,CH4,0.00325658027983884
19,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Default ,kg,N2O,0.00582276554035185
20,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Bituminous,kg,CO2e,2.656953424
21,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Bituminous,kg,CO2,2.637360379
22,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Bituminous,kg,CH4,0.007027635
23,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Bituminous,kg,N2O,0.012565411
24,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Sub-Bituminous,kg,CO2e,2.005340893
25,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Sub-Bituminous,kg,CO2,1.991009477
26,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Sub-Bituminous,kg,CH4,0.005140393
27,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Sub-Bituminous,kg,N2O,0.009191023
28,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Lignite,kg,CO2e,1.430549361
29,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Lignite,kg,CO2,1.420447873
30,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Lignite,kg,CH4,0.003623202
31,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Coal - Lignite,kg,N2O,0.006478286
32,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Diesel,litre,CO2e,2.663721568
33,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Diesel,litre,CO2,2.648156419
34,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Diesel,litre,CH4,0.00907483
35,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Diesel,litre,N2O,0.006490318
36,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,LPG,kg,CO2e,3.028686333
37,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,LPG,kg,CO2,3.021333333
38,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,LPG,kg,CH4,0.0059375
